index:000, Histogram: 0.158886%
index:001, Histogram: 0.189879%
index:002, Histogram: 0.152713%
index:003, Histogram: 0.198238%
index:004, Histogram: 0.305427%
index:005, Histogram: 0.400334%
index:006, Histogram: 0.518583%
index:007, Histogram: 0.580247%
index:008, Histogram: 0.689943%
index:009, Histogram: 0.863747%
index:010, Histogram: 1.135159%
index:011, Histogram: 1.407407%
index:012, Histogram: 1.625386%
index:013, Histogram: 1.722415%
index:014, Histogram: 1.704926%
index:015, Histogram: 1.685700%
index:016, Histogram: 1.631816%
index:017, Histogram: 1.601852%
index:018, Histogram: 1.514853%
index:019, Histogram: 1.474023%
index:020, Histogram: 1.399884%
index:021, Histogram: 1.320923%
index:022, Histogram: 1.238554%
index:023, Histogram: 1.162101%
index:024, Histogram: 1.056391%
index:025, Histogram: 0.966114%
index:026, Histogram: 0.861818%
index:027, Histogram: 0.796553%
index:028, Histogram: 0.717014%
index:029, Histogram: 0.654900%
index:030, Histogram: 0.594907%
index:031, Histogram: 0.546939%
index:032, Histogram: 0.521734%
index:033, Histogram: 0.514018%
index:034, Histogram: 0.479360%
index:035, Histogram: 0.480774%
index:036, Histogram: 0.467078%
index:037, Histogram: 0.448110%
index:038, Histogram: 0.449846%
index:039, Histogram: 0.451003%
index:040, Histogram: 0.425990%
index:041, Histogram: 0.427726%
index:042, Histogram: 0.415574%
index:043, Histogram: 0.400720%
index:044, Histogram: 0.400206%
index:045, Histogram: 0.400270%
index:046, Histogram: 0.407600%
index:047, Histogram: 0.411716%
index:048, Histogram: 0.403549%
index:049, Histogram: 0.410558%
index:050, Histogram: 0.406250%
index:051, Histogram: 0.415445%
index:052, Histogram: 0.413837%
index:053, Histogram: 0.404257%
index:054, Histogram: 0.440201%
index:055, Histogram: 0.440715%
index:056, Histogram: 0.488555%
index:057, Histogram: 0.489583%
index:058, Histogram: 0.503215%
index:059, Histogram: 0.500193%
index:060, Histogram: 0.486947%
index:061, Histogram: 0.484697%
index:062, Histogram: 0.496849%
index:063, Histogram: 0.514982%
index:064, Histogram: 0.517554%
index:065, Histogram: 0.528228%
index:066, Histogram: 0.547968%
index:067, Histogram: 0.571566%
index:068, Histogram: 0.559735%
index:069, Histogram: 0.539159%
index:070, Histogram: 0.527392%
index:071, Histogram: 0.492798%
index:072, Histogram: 0.467143%
index:073, Histogram: 0.450167%
index:074, Histogram: 0.415059%
index:075, Histogram: 0.392040%
index:076, Histogram: 0.383038%
index:077, Histogram: 0.370628%
index:078, Histogram: 0.374807%
index:079, Histogram: 0.382009%
index:080, Histogram: 0.384131%
index:081, Histogram: 0.400077%
index:082, Histogram: 0.423225%
index:083, Histogram: 0.451646%
index:084, Histogram: 0.506880%
index:085, Histogram: 0.540059%
index:086, Histogram: 0.563207%
index:087, Histogram: 0.585198%
index:088, Histogram: 0.603909%
index:089, Histogram: 0.631494%
index:090, Histogram: 0.653099%
index:091, Histogram: 0.644805%
index:092, Histogram: 0.641654%
index:093, Histogram: 0.652328%
index:094, Histogram: 0.650656%
index:095, Histogram: 0.621978%
index:096, Histogram: 0.622171%
index:097, Histogram: 0.591692%
index:098, Histogram: 0.570216%
index:099, Histogram: 0.527328%
index:100, Histogram: 0.495370%
index:101, Histogram: 0.483668%
index:102, Histogram: 0.476016%
index:103, Histogram: 0.460005%
index:104, Histogram: 0.456147%
index:105, Histogram: 0.445859%
index:106, Histogram: 0.443094%
index:107, Histogram: 0.450103%
index:108, Histogram: 0.456533%
index:109, Histogram: 0.445923%
index:110, Histogram: 0.420975%
index:111, Histogram: 0.407215%
index:112, Histogram: 0.377636%
index:113, Histogram: 0.361368%
index:114, Histogram: 0.356417%
index:115, Histogram: 0.340406%
index:116, Histogram: 0.327160%
index:117, Histogram: 0.329925%
index:118, Histogram: 0.320152%
index:119, Histogram: 0.325360%
index:120, Histogram: 0.313529%
index:121, Histogram: 0.320473%
index:122, Histogram: 0.327032%
index:123, Histogram: 0.329540%
index:124, Histogram: 0.349923%
index:125, Histogram: 0.341499%
index:126, Histogram: 0.327996%
index:127, Histogram: 0.325424%
index:128, Histogram: 0.293981%
index:129, Histogram: 0.274241%
index:130, Histogram: 0.274949%
index:131, Histogram: 0.262924%
index:132, Histogram: 0.262924%
index:133, Histogram: 0.265496%
index:134, Histogram: 0.269483%
index:135, Histogram: 0.279321%
index:136, Histogram: 0.273598%
index:137, Histogram: 0.270705%
index:138, Histogram: 0.279900%
index:139, Histogram: 0.306391%
index:140, Histogram: 0.317130%
index:141, Histogram: 0.352945%
index:142, Histogram: 0.359954%
index:143, Histogram: 0.358603%
index:144, Histogram: 0.333591%
index:145, Histogram: 0.324781%
index:146, Histogram: 0.339892%
